Variety,Year,Import_weight_metric_tons,Cost_millions_USD,Cost_by_weight
Highbush (Northern),1990,53,41.04,0.774339623
Highbush (Northern),1991,35.33,44.54,1.26068497
Highbush (Northern),1992,60,45.38,0.756333333
Highbush (Northern),1993,68.5,46.22,0.674744526
Highbush (Northern),1994,100.67,39.46,0.391973776
Highbush (Northern),1995,139.17,42.96,0.308687217
Highbush (Northern),1996,150,49.12,0.327466667
Highbush (Northern),1997,174.33,49.58,0.284403143
Highbush (Northern),1998,155.33,52.7,0.339277667
Highbush (Northern),1999,183,50.5,0.275956284
Highbush (Northern),2000,185,55.9,0.302162162
Highbush (Northern),2001,183.33,50.28,0.274259532
Highbush (Northern),2002,237,62.52,0.263797468
Highbush (Northern),2003,262.17,64.12,0.244574131
Highbush (Northern),2004,235.33,63.06,0.267964135
Highbush (Northern),2005,321,62.76,0.195514019
Highbush (Northern),2006,320.33,59.04,0.18430993
Highbush (Northern),2007,338.67,63.68,0.188029645
Highbush (Northern),2008,288,64.14,0.222708333
Highbush (Northern),2009,329,66.12,0.200972644
Highbush (Southern),1990,30,27.23,0.907666667
Highbush (Southern),1991,71.33,36.63,0.51352867
Highbush (Southern),1992,79,30.52,0.386329114
Highbush (Southern),1993,84,36.12,0.43
Highbush (Southern),1994,97.67,35.38,0.362240197
Highbush (Southern),1995,105.17,36.23,0.344489874
Highbush (Southern),1996,128,38.35,0.299609375
Highbush (Southern),1997,151.83,37.62,0.247777119
Highbush (Southern),1998,210.33,45.12,0.21452004
Highbush (Southern),1999,192,38.05,0.198177083
Highbush (Southern),2000,213.33,41.12,0.192753012
Highbush (Southern),2001,210.17,43.55,0.207213208
Highbush (Southern),2002,259,48.83,0.188532819
Highbush (Southern),2003,275,48.73,0.1772
Highbush (Southern),2004,270,50.22,0.186
Highbush (Southern),2005,204,49.48,0.24254902
Highbush (Southern),2006,361,54.13,0.149944598
Highbush (Southern),2007,274.5,53.72,0.195701275
Highbush (Southern),2008,330,50.13,0.151909091
Highbush (Southern),2009,372,58.27,0.156639785
Rabbiteye,1990,22,61.43,2.792272727
Rabbiteye,1991,48.73,65,1.333880566
Rabbiteye,1992,70.67,73,1.032970143
Rabbiteye,1993,77.8,71.5,0.919023136
Rabbiteye,1994,79.87,65.57,0.820959058
Rabbiteye,1995,75,78.63,1.0484
Rabbiteye,1996,107.8,64.47,0.598051948
Rabbiteye,1997,95.2,78.17,0.821113445
Rabbiteye,1998,156.27,79.83,0.510846612
Rabbiteye,1999,120.8,82.77,0.685182119
Rabbiteye,2000,151.67,79.37,0.52330718
Rabbiteye,2001,164.53,82.3,0.500212727
Rabbiteye,2002,245.2,89.67,0.365701468
Rabbiteye,2003,186.27,86.9,0.466527084
Rabbiteye,2004,263.07,80.33,0.305355989
Rabbiteye,2005,163,88.33,0.54190184
Rabbiteye,2006,282,91.27,0.323652482
Rabbiteye,2007,167.33,99.9,0.597023845
Rabbiteye,2008,216,96.5,0.446759259
Rabbiteye,2009,281.27,95.63,0.3399936
