Variety,Year,Import_weight_metric_tons,Cost_millions_USD,Cost_by_weight
Honey,1990,32,54.15,1.6921875
Honey,1991,138.5,50.48,0.364476534
Honey,1992,161,48.23,0.299565217
Honey,1993,185.5,55.95,0.301617251
Honey,1994,241,53.7,0.222821577
Honey,1995,274,54.77,0.199890511
Honey,1996,406,63.93,0.157463054
Honey,1997,436,69.75,0.159977064
Honey,1998,469,68.45,0.145948827
Honey,1999,485,70,0.144329897
Honey,2000,546,74.4,0.136263736
Honey,2001,622.5,76.43,0.122779116
Honey,2002,671,78.45,0.116915052
Honey,2003,752.5,73.35,0.097475083
Honey,2004,771,77.75,0.100843061
Honey,2005,821.5,78.82,0.095946439
Honey,2006,866,80.85,0.093360277
Honey,2007,972,91.9,0.094547325
Honey,2008,1046,96.78,0.092523901
Honey,2009,954,98.8,0.103563941
Haden,1990,71,51.77,0.72915493
Haden,1991,111.8,43.38,0.388014311
Haden,1992,129.6,59.2,0.456790123
Haden,1993,144.4,49.85,0.345221607
Haden,1994,227.8,55.7,0.24451273
Haden,1995,227,62.98,0.277444934
Haden,1996,284.8,58.38,0.204985955
Haden,1997,308.2,64.7,0.209928618
Haden,1998,361,73.88,0.20465374
Haden,1999,407.6,79.25,0.194430815
Haden,2000,369,83.68,0.226775068
Haden,2001,432.8,79.55,0.183803142
Haden,2002,446.8,83.5,0.186884512
Haden,2003,505.8,85.07,0.168189008
Haden,2004,589.8,88.55,0.150135639
Haden,2005,619,87.75,0.141760905
Haden,2006,666.2,101.68,0.152626839
Haden,2007,631.4,94.22,0.149223947
Haden,2008,653,101.97,0.156156202
Haden,2009,765.6,103.55,0.135253396
Alphonse,1990,33,27.55,0.834848485
Alphonse,1991,93,36.17,0.388924731
Alphonse,1992,97,36.87,0.380103093
Alphonse,1993,166,38.83,0.233915663
Alphonse,1994,194.33,37,0.190397777
Alphonse,1995,209,36.12,0.172822967
Alphonse,1996,212,36.5,0.172169811
Alphonse,1997,272.33,43.22,0.158704513
Alphonse,1998,278.33,42.02,0.150971868
Alphonse,1999,339,43.03,0.126932153
Alphonse,2000,360.33,45.63,0.126633919
Alphonse,2001,357.67,46.02,0.128666089
Alphonse,2002,439,50.2,0.114350797
Alphonse,2003,495.67,52.17,0.105251478
Alphonse,2004,524.33,49.38,0.094177331
Alphonse,2005,426,53.25,0.125
Alphonse,2006,505,55.53,0.109960396
Alphonse,2007,569.33,56.55,0.099327279
Alphonse,2008,599,52.18,0.087111853
Alphonse,2009,586.33,55.42,0.094520151
